Concedidos por ano,"Patente (PI, MU, CA)",PI exterior,Programa de computador,Desenho industrial,Marca,Cultivar,Total de pedidos concedidos
1996 a 2004,0,0,0,0,2,0,2
2005,0,0,0,0,1,0,1
2006,0,0,0,0,0,0,0
2007,0,0,0,0,1,0,1
2008,0,0,0,0,0,0,0
2009,1,0,0,0,1,0,2
2010,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0
2012,0,0,0,2,2,0,4
2013,0,0,2,1,1,0,4
2014,0,0,6,1,1,0,8
2015,0,0,22,1,0,0,23
2016,0,0,31,18,5,5,59
2017,3,0,19,22,2,0,46
2018,4,2,15,8,2,0,31
2019,4,2,9,1,2,0,18
2020,6,1,15,0,1,0,23
2021,20,1,7,0,0,2,30
2022,18,0,13,0,3,0,34
2023,17,1,31,0,2,0,51
2024,8,0,24,0,0,0,32
2025,12,1,29,3,1,0,46
2026,5,0,8,1,1,0,15
,,,,,,,
,98,8,231,58,28,7,430
,,,,,,,
,,,,,,,
Atualizado 04/02/2026,,,,,,,
Atualizado 03/07/2026,,,alteração em 2025: 29 concedidos,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Brasil (quantidade),Exterior (processos),,,,,
Concedidos 2017 ,2 PI + 1 MU,N/A,,,,,
Concedidos 2018,3 PI + 1 MU,213 e 442-MU,,,,,
Concedidos 2019,4 PI ,327 e 350,,,,,
Concedidos 2020,5 PI + 1 MU,405,,,,,
Concedidos 2021,20 PI,405,,,,,
Concedidos 2022,18 PI,N/A,,,,,
Concedidos 2023,17,350,,,,,
Concedidos 2024,8 PI,N/A,,,,,
Concedidos 2025,12 PI,511,,,,,