Depósitos por ano,"Patente (PI, MU, CA e PI exterior)",Removido,Programa de computador,Desenho industrial,Marca,Cultivar,Total de pedidos depositados
1996 a 2004,2,ver planilha PCT,0,0,6,0,8
2005,2,PCT não é ativo PI ,0,0,0,0,2
2006,2,(considerar como estratégia PI),1,0,0,0,3
2007,2,,1,0,0,0,3
2008,2,,2,0,0,0,4
2009,6,,0,0,3,0,9
2010,4,,1,0,1,0,6
2011,14,,1,8,0,0,23
2012,13,,1,3,0,0,17
2013,25,,8,7,1,0,41
2014,14,,22,3,5,0,44
2015,34,,22,36,3,5,100
2016,15,,18,8,1,0,42
2017,18,,9,0,1,0,28
2018,15,,11,1,1,0,28
2019,18,,9,0,0,2,29
2020,16,,15,0,1,0,32
2021,16,,7,0,3,0,26
2022,20,,13,0,2,0,35
2023,8,,31,0,1,0,40
2024,20,,24,4,2,0,50
2025,16,,29,2,1,0,48
2026,8,,8,4,1,0,21
,,,,,,,
,290,,233,76,33,7,639
,,,,,,,
,,,,,,,Observação:
,,,,,,,"pedidos depositados, mas não necessariamente ativos. "
Revisado em 04/02/2026,,,alteração em 2025: 29 depositados,,,,
Atualizado 03/07/2026,,,,,,,
,,,,,,,
Sistema Apol = processos depositados pela UFSM,,,,,,,
(usar o filtro controlado + arquivo morto),,,,,,,
,,,,,,,
,,,,,,,
Sistema Apol = processos depositados no exterior ,,,,,,,
(aba INTERNACIONAL: pesquisar por data de depósito internacional),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,439-PC depositado 2018,,,,
,,,cedido ,,,,